icao_code;iata_code;gps_code;Lat;Long
LIBF;FOG;LIBF;41,433596;15,534566
LIBG;TAR;LIBG;40,517502;17,4032
LIBN;LCC;LIBN;40,239201;18,133301
LIBP;PSR;LIBP;42,431702;14,1811
LIBR;BDS;LIBR;40,6576;17,947001
LICA;SUF;LICA;38,905197;16,243762
LICB;CIY;LICB;36,99583;14,60889
LICC;CTA;LICC;37,466801;15,0664
LICD;LMP;LICD;35,497898;12,6181
LICG;PNL;LICG;36,816502;11,9689
LICJ;PMO;LICJ;38,175999;13,091
LICR;REG;LICR;38,071201;15,6516
LICT;TPS;LICT;37,9114;12,488
LICZ;NSY;LICZ;37,401699;14,9224
LIDB;BLX;LIDB;46,166549;12,250389
LIDR;RAN;LIDR;44,364291;12,224996
LIEA;AHO;LIEA;40,632099;8,29077
LIED;DCI;LIED;39,354198;8,97248
LIEE;CAG;LIEE;39,251499;9,05428
LIEO;OLB;LIEO;40,898701;9,51763
LIER;FNU;LIER;39,895308;8,642661
LIET;TTB;LIET;39,9188;9,68298
LIMC;MXP;LIMC;45,6306;8,72811
LIME;BGY;LIME;45,670725;9,709223
LIMF;TRN;LIMF;45,200802;7,64963
LIMG;ALL;LIMG;44,050598;8,12743
LIMJ;GOA;LIMJ;44,412039;8,840732
LIML;LIN;LIML;45,445099;9,27674
LIMP;PMF;LIMP;44,826351;10,29705
LIMW;AOT;LIMW;45,738552;7,3683
LIMZ;CUF;LIMZ;44,547001;7,62322
LIPA;AVB;LIPA;46,031898;12,596503
LIPB;BZO;LIPB;46,460201;11,3264
LIPD;UDN;LIPD;46,0308;13,18225
LIPE;BLQ;LIPE;44,5354;11,2887
LIPH;TSF;LIPH;45,648399;12,1944
LIPK;FRL;LIPK;44,194801;12,0701
LIPO;VBS;LIPO;45,428902;10,3306
LIPQ;TRS;LIPQ;45,827499;13,4722
LIPR;RMI;LIPR;44,020302;12,6117
LIPX;VRN;LIPX;45,394955;10,887303
LIPY;AOI;LIPY;43,616299;13,3623
LIPZ;VCE;LIPZ;45,505299;12,3519
LIQL;LCV;LIQL;43,825825;10,577928
LIQS;SAY;LIQS;43,256302;11,255
LIRA;CIA;LIRA;41,7994;12,5949
LIRF;FCO;LIRF;41,804532;12,251998
LIRI;QSR;LIRI;40,620399;14,9113
LIRJ;EBA;LIRJ;42,760871;10,239811
LIRN;NAP;LIRN;40,886002;14,2908
LIRP;PSA;LIRP;43,683899;10,3927
LIRQ;FLR;LIRQ;43,808558;11,202822
LIRS;GRS;LIRS;42,759701;11,0719
LIRZ;PEG;LIRZ;43,095901;12,5132
LJLJ;LJU;LJLJ;46,223701;14,4576
LJMB;MBX;LJMB;46,4799;15,6861
LJPZ;POW;LJPZ;45,47201;13,615951
LKCS;JCL;LKCS;48,9464;14,4275
LKKU;UHE;LKKU;49,0294;17,439699
LKKV;KLV;LKKV;50,202999;12,915
;HRA;LKMH;50,540199;15,0066
LKMT;OSR;LKMT;49,696301;18,111099
LKOL;OLO;LKOL;49,587712;17,209275
LKPD;PED;LKPD;50,01340103;15,73859978
LKPO;PRV;LKPO;49,4258;17,404699
LKPR;PRG;LKPR;50,100874;14,259911
LKTB;BRQ;LKTB;49,15129852;16,69440079
LKVO;VOD;LKVO;50,216599;14,3958
LKZA;ZBE;LKZA;49,928258;18,075557
LMML;MLA;LMML;35,857498;14,4775
LOIH;HOH;LOIH;47,384477;9,699776
LOWG;GRZ;LOWG;46,9911;15,4396
LOWI;INN;LOWI;47,260201;11,344
LOWK;KLU;LOWK;46,642502;14,3377
LOWL;LNZ;LOWL;48,2332;14,1875
LOWS;SZG;LOWS;47,793301;13,0043
LOWW;VIE;LOWW;48,110298;16,5697
;AVR;LPAR;38,883301;-9,0301
LPAZ;SMA;LPAZ;36,97140121;-25,17060089
LPBG;BGC;LPBG;41,8578;-6,70713
LPBJ;BYJ;LPBJ;38,078899;-7,9324
LPBR;BGZ;LPBR;41,58710098;-8,445139885
